"K008552"	(2342.631376,0.000404179067)
"A009374"	(157.9920909,9.960079593e-05)
"K015323"	(1272.133826,0.0008021916694)
"K015435"	(2226.479815,0.002125935924)
"A016293"	(81.52653253,7.808516556e-05)
"K016127"	(1269.442584,0.001212318797)
"K007161"	(1381.189789,0.001318631398)
"O013049"	(941.2690852,0.0008998232503)
"G000237"	(790.8789807,0.0007550718877)
"A012002"	(302.1585233,0.0002887644569)
"G011833"	(132.5096218,0.0001263041497)
"G009846"	(132.5096228,0.0001266544659)
"N016058"	(2833.62633,0.002703666264)
"G005519"	(404.6003515,0.0003865668337)
"G001730"	(132.4464738,0.0001266931162)
"G005068"	(132.5096237,0.0001264590336)
"A014706"	(1567.621831,0.001495904745)
"A015249"	(2288.004667,0.002185648497)
"A005304"	(2453.277526,0.002343227453)
"N008967"	(2833.62262,0.000825355375)
"G003951"	(1935.290308,0.0005638759115)
"N012389"	(2148.356708,0.0006249633778)
"A003474"	(2469.335103,0.0007178051904)
"A008590"	(2469.335103,0.0007175641266)
"G007222"	(2571.452983,0.0007464713868)
"N007157"	(2148.356707,0.0006247417509)
"O012225"	(889.9964006,0.0002579251369)
"N003439"	(2148.356708,0.0006265116901)
"K007894"	(1750.443251,0.0005078594787)
"N001078"	(2157.180923,0.0006275744091)
"K013703"	(513.2204271,0.0001488266601)
"A015044"	(889.0185739,0.0002590716841)
"A000055"	(2437.7899,0.000710598085)
"G000209"	(1068.290037,0.0003103670264)
"G013045"	(382.9738934,0.0001109172792)
"G012372"	(161.2518955,1.560135466e-06)
"A010286"	(185.0081857,1.328986758e-06)
"G002079"	(959.6796246,6.976429941e-06)
"O016373"	(1268.380315,8.491299294e-06)
"G000044"	(884.9653396,6.698937305e-06)
"G013994"	(335.100309,2.902153544e-06)
"G009198"	(336.3540294,2.34030406e-06)
"G016092"	(1003.572099,7.485553533e-06)
"G015994"	(161.2518965,1.092815902e-06)
"G007167"	(283.5251142,2.067954033e-06)
"A011028"	(238.7499716,1.439528149e-06)
"A011061"	(925.1147433,5.936261047e-06)
"P001432"	(1305.205574,9.427066864e-06)
"A014673"	(2354.464158,1.760490944e-05)
"N007868"	(2589.86536,2.140155074e-05)
"G003347"	(1836.738066,1.288228944e-05)
"G005616"	(1836.739354,0.001052008104)
"G006560"	(404.6002944,0.000232154659)
"K000141"	(1342.964953,0.0007689781606)
"A007786"	(925.1153931,0.0005298595472)
"G015742"	(1836.739356,0.001053194881)
"N012144"	(1372.50806,0.0007854397567)
"G010843"	(1836.739358,0.001049669738)
"G009782"	(1836.739354,0.001051882623)
"G006276"	(1836.739355,0.00105282888)
"P000695"	(1283.89858,0.0007352165524)
"N008471"	(2122.054757,0.001214662835)
"G007347"	(336.4713006,0.0001929203329)
"K007569"	(475.42657,0.000272545024)
"A001843"	(2151.790419,0.001234419805)
"G006313"	(2604.79751,0.001492230513)
"A000725"	(2165.464382,0.001238683854)
"N013904"	(1484.680553,0.0004573022374)
"G016283"	(1019.276448,0.0003160287184)
"A011365"	(237.7862273,7.336918825e-05)
"K007703"	(3029.870142,0.0009322851075)
"A014197"	(157.8780837,4.842665556e-05)
"K003264"	(614.0635018,0.0001903111785)
"G004700"	(2474.833831,0.0007646803867)
"A015094"	(357.1342199,0.0001100612494)
"G016020"	(1341.48136,0.000413286088)
"G007845"	(415.9783044,0.0001281202186)
"K000116"	(808.4845543,0.0002483106282)
"E013092"	(2801.93691,0.0008645550885)
"N011745"	(1351.168886,0.0004178348529)
"G013768"	(161.2520214,5.005620147e-05)
"G012855"	(2289.209469,0.0007057410224)
"G006964"	(135.2709585,4.157032183e-05)
"K009912"	(2048.374245,0.003461147522)
"G009403"	(1892.724496,0.003198713966)
"O005894"	(2760.575183,0.004665292461)
"G011837"	(2243.91957,0.003790808252)
"G006734"	(135.2709314,0.000229080663)
"G006012"	(2012.323078,0.003400895746)
"N008047"	(1426.965088,0.002411834979)
"G007865"	(2016.203738,0.003404128771)
"N004472"	(2286.243848,0.003865214808)
"K013213"	(487.0556916,0.0008232853048)
"G006845"	(135.2709317,0.0002286207601)
"N003784"	(2343.224426,0.003959075557)
"A013876"	(133.1835776,0.000225270802)
"K005850"	(575.4533155,0.000973203439)
"K016181"	(2503.728119,0.00423229742)
"K006424"	(1984.968655,0.003352510091)
"N011051"	(2318.383704,0.002578726599)
"G009136"	(1561.242243,0.00173695611)
"G003554"	(1102.690147,0.001225198123)
"G001516"	(758.6567071,0.0008430844989)
"G005855"	(160.9341496,0.0001791303836)
"G011485"	(2186.919856,0.002430439696)
"G001009"	(2809.251728,0.00312377594)
"G010210"	(1246.360523,0.001385686396)
"O013524"	(2318.095163,0.002577772253)
"A015905"	(2132.477656,0.002369910137)
"G004293"	(1892.433116,0.002102833388)
"A005359"	(1565.873069,0.001741924353)
"G005700"	(2573.776963,0.0028608593)
"G012728"	(2573.782685,0.002860452443)
"K000843"	(134.7114836,0.0001499651932)
"G004120"	(2573.863288,0.002860537445)
"G011640"	(238.7977765,0.0002353251727)
"N010358"	(2330.008478,0.002300099499)
"P004010"	(1169.157684,0.00115269099)
"G004833"	(2410.435585,0.002376554847)
"K013087"	(1992.946961,0.00196467509)
"G010507"	(2596.743059,0.002560710236)
"G011491"	(1697.125486,0.001673170951)
"E003324"	(2862.253086,0.002821568345)
"G010220"	(1508.346844,0.001487341777)
"N014530"	(2345.81528,0.002313957174)
"G011812"	(2277.125461,0.002245159503)
"G008632"	(2640.029432,0.002603133962)
"A007222"	(417.8850923,0.0004125934098)
"A012077"	(417.8850917,0.0004106535871)
"N000341"	(1975.485663,0.001948768179)
"G003100"	(2596.822175,0.002560509687)
"G003320"	(2506.79083,0.00168983149)
"G007255"	(2685.104782,0.001811378386)
"P004028"	(2046.503363,0.00138002749)
"P001197"	(2051.06936,0.001383555102)
"N008640"	(1493.688348,0.001007553393)
"A002801"	(54.02257012,3.677419595e-05)
"E014944"	(2330.512355,0.00157298356)
"G014419"	(364.5476407,0.0002458130001)
"G008339"	(1223.180856,0.0008260133687)
"A013386"	(108.295634,7.263154294e-05)
"A009879"	(417.8852162,0.0002808304694)
"E014692"	(2330.512353,0.001574135333)
"G006986"	(318.6167002,0.0002143928993)
"G004967"	(1998.619165,0.001347693522)
"G005612"	(618.5963152,0.0004175147592)
"G000067"	(1996.998305,0.001346050335)
"G008023"	(1295.637383,0.0005213352986)
"O003077"	(2072.016797,0.000828644562)
"E015436"	(2330.50725,0.000928674384)
"G001374"	(289.2226033,0.0001161113119)
"G014815"	(1295.637382,0.0005192265805)
"G014397"	(1998.614783,0.0007996234684)
"G006476"	(2533.551516,0.001013795326)
"G000741"	(1295.637382,0.0005171920587)
"P000282"	(2007.193986,0.0008021078325)
"G005150"	(1998.614784,0.000799424943)
"A011733"	(2174.195982,0.0008671319138)
"A001309"	(107.2934248,4.287228819e-05)
"G009464"	(1295.637383,0.0005177363942)
"K005023"	(1610.145096,0.0006434443562)
"G012939"	(2635.820751,0.001053639676)
"G000674"	(208.8140966,8.323692163e-05)
"G009698"	(873.10022,0.0003819436967)
"K005252"	(1112.091727,0.0004880818313)
"K003282"	(2893.201233,0.001269745419)
"P010553"	(1098.465808,0.0004826874112)
"G010493"	(212.8876012,9.373572656e-05)
"N002758"	(2295.651976,0.001008815149)
"G005224"	(1797.855648,0.0007904548229)
"A004743"	(2151.61207,0.0009446710448)
"G000001"	(2264.989458,0.0009959809996)
"G012730"	(213.0237439,9.338326905e-05)
"A006523"	(80.99586977,3.554554666e-05)
"G015008"	(1874.199083,0.0008250128899)
"K011374"	(2462.673834,0.001083139234)
"G001850"	(1817.980931,0.0007974723351)
"K007479"	(1188.666734,0.0005224152709)
"G002248"	(1839.253331,0.0008077010449)
"E004735"	(2580.063256,0.001279123909)
"G004801"	(186.5877719,9.262777117e-05)
"G006965"	(1815.06089,0.000900755578)
"Q000126"	(1654.409234,0.0008220492425)
"G000332"	(532.2151116,0.0002642137263)
"A012117"	(341.6918031,0.0001698586156)
"E001463"	(2376.85511,0.001179725858)
"G006677"	(2630.185327,0.001304007301)
"G014403"	(2197.354193,0.00109168536)
"G005832"	(532.2151107,0.0002640844523)
"K003074"	(2468.008696,0.001223665816)
"G002064"	(863.0467566,0.0004287630028)
"A006706"	(394.3805167,0.0001962187849)
"G007400"	(1071.781551,0.0005319450059)
"A001571"	(236.9593086,0.0001173156096)
"G009151"	(603.3867777,0.0002990618195)
"G011134"	(1868.757224,0.002318746225)
"F001639"	(237.4723572,0.0002947187818)
"G002072"	(2194.472001,0.002721746468)
"A000265"	(54.17543767,6.722791227e-05)
"G005901"	(1071.780711,0.001328724086)
"N000408"	(2651.193874,0.003290499454)
"K008125"	(2468.006765,0.003061206549)
"A011080"	(1761.54751,0.002185572304)
"K009449"	(2458.546041,0.003050033703)
"G004818"	(2194.472001,0.002722917457)
"G013773"	(1194.923781,0.0014818205)
"G000864"	(2288.273316,0.002840626886)
"K009349"	(27.4522206,3.41475758e-05)
"P010480"	(847.6732814,0.001052095173)
"G010632"	(894.3976991,0.00110920926)
"N014847"	(2601.946332,0.003229342102)
"G013638"	(698.7757076,0.0008114431571)
"A006503"	(447.4853108,0.0005190216042)
"G012150"	(2735.240443,0.003174668682)
"G005535"	(413.2409281,0.0004799664448)
"N010732"	(2657.08823,0.003084098581)
"E009147"	(2953.954536,0.003430258781)
"G010891"	(2018.483171,0.002343284377)
"G002192"	(606.1979339,0.0007019686619)
"G006319"	(2031.11791,0.002353789261)
"G013496"	(2048.36926,0.002377857446)
"G013778"	(2641.302413,0.003063120234)
"P012083"	(681.200636,0.0007909430244)
"A001490"	(287.2359436,0.0003332868197)
"G011721"	(850.8172143,0.0009871465607)
"G005387"	(850.8172134,0.0009889462817)
"E009390"	(2601.684538,0.003019018092)
"K012757"	(420.9890152,-0.0002089181881)
"N004713"	(2700.305993,-0.001343157969)
"K001992"	(2396.143181,-0.001190450646)
"G005100"	(850.8182329,-0.0004204643881)
"G007736"	(2313.815349,-0.0011516106)
"G013660"	(850.8182335,-0.0004221064287)
"N003401"	(2570.661293,-0.001277351818)
"N011007"	(2306.516561,-0.001147581294)
"A015458"	(105.9124628,-5.225818763e-05)
"N003466"	(2728.864466,-0.00135724155)
"A000415"	(187.1643569,-9.299849126e-05)
"K010590"	(2713.833895,-0.001347401715)
"G003439"	(2608.475975,-0.001295165084)
"Q001233"	(2367.261369,-0.001177411239)
"K015863"	(329.3774793,-0.000163863286)
"G002225"	(413.2414232,-0.0002054964625)
"G007291"	(2522.123297,0.001716790239)
"G013759"	(773.8623555,0.0005272752941)
"G007893"	(1453.66718,0.0009878067803)
"G010768"	(2522.123295,0.001717903878)
"G007088"	(1453.667178,0.000990367478)
"K010072"	(2641.268927,0.001798790491)
"G000845"	(2022.714003,0.001376418358)
"G014012"	(2630.828911,0.00178892212)
"I015269"	(2905.359366,0.001976935138)
"P001117"	(826.2768521,0.0005632212309)
"G005918"	(2332.750568,0.001589184238)
"G004109"	(1852.970933,0.00126284644)
"E013908"	(2144.916751,0.001462536859)
"G009173"	(2608.918808,0.001777514352)
"G004366"	(1852.970933,0.001261481128)
"G011710"	(1852.970934,0.001262961013)
"G003204"	(2163.916024,0.00125471197)
"G015261"	(1852.968967,0.001076187163)
"E013991"	(2852.162669,0.00165440932)
"Q000882"	(2456.078397,0.001424758083)
"G008620"	(1295.822446,0.0007514623247)
"A014009"	(2264.074737,0.001313147049)
"G004597"	(414.7645656,0.0002411705949)
"E008140"	(2809.182861,0.001630724408)
"G004779"	(413.5097159,0.0002397801638)
"G001968"	(747.0635145,0.0004330272434)
"G010194"	(2386.672425,0.001382242487)
"G009231"	(891.2335344,0.0005159588813)
"G014258"	(1295.822478,0.0007512096438)
"A007446"	(105.4478691,6.109684395e-05)
"E015861"	(2572.50846,0.001493065542)
"G013042"	(1516.054719,0.0008802340629)
"K013031"	(988.7014738,0.0006554927244)
"G005267"	(2541.321048,0.001684741587)
"G004167"	(422.8026937,0.0002779993235)
"I014959"	(2886.697635,0.001911203895)
"G006326"	(2246.737667,0.001485551217)
"Q000090"	(2438.381676,0.00161569337)
"N002364"	(2085.252396,0.001381750463)
"G002791"	(2064.851904,0.001365788049)
"J005911"	(2013.034393,0.001331717555)
"G003366"	(602.8346399,0.0003991532963)
"J011429"	(2010.540157,0.001330515107)
"K003932"	(329.7356949,0.0002194430086)
"N012453"	(2317.261558,0.001534158918)
"K012569"	(124.0400249,8.23829379e-05)
"G007098"	(1659.129183,0.001100923706)
"N013040"	(2314.952307,0.001525926368)
"G004422"	(620.3305895,-3.347329529e-05)
"G014235"	(1732.137202,-9.668044803e-05)
"G009097"	(1732.1372,-9.548071229e-05)
"G005307"	(337.7695026,-1.911620718e-05)
"G007940"	(622.3335531,-3.503941233e-05)
"G000938"	(395.3101484,-2.260070767e-05)
"Q001146"	(1388.596503,-7.863212595e-05)
"G011056"	(2504.872663,-0.0001410662061)
"G002258"	(2802.514149,-0.0001575293664)
"G013305"	(1378.527795,-7.6585236e-05)
"P009211"	(543.7416235,-3.02998139e-05)
"K006119"	(2540.48651,-0.0001421761634)
"N005750"	(2647.119636,-0.0001494514091)
"G014737"	(2486.535758,-0.0001379161715)
"N010569"	(2822.126229,-0.0001572598898)
"G011287"	(2099.811854,-0.0001194254424)
"K010231"	(2650.107734,0.001831897443)
"K000289"	(150.886015,0.0001041997379)
"E014184"	(2479.769264,0.001714783373)
"N007995"	(2328.764856,0.001608675163)
"Q000532"	(2445.320213,0.001690238064)
"K005900"	(963.775596,0.0006659107892)
"P002925"	(1184.784128,0.0008181462669)
"K015969"	(311.2452373,0.0002145605045)
"G006117"	(1090.881489,0.0007548191206)
"G010525"	(2131.485729,0.00147470657)
"I002027"	(2954.104438,0.002041073664)
"G006453"	(1109.192675,0.0007661072649)
"G014165"	(623.3940085,0.0004309873153)
"G012159"	(2245.852187,0.001553875808)
"G005108"	(2237.908409,0.001547464055)
"G003787"	(2452.089445,0.001695184292)
"A013930"	(493.437635,0.0002957676421)
"G012621"	(1157.854006,0.0006953619222)
"N008939"	(1007.911758,0.0006034866284)
"G006312"	(1157.854007,0.0006930479657)
"F002574"	(561.1379017,0.000336121937)
"N010282"	(2493.399234,0.00149358985)
"N015303"	(2730.388812,0.001639478876)
"G010871"	(1109.192711,0.0006646935569)
"G008526"	(2492.577044,0.001495537652)
"G013633"	(733.4464319,0.0004398001058)
"G002899"	(1157.854007,0.0006945528281)
"G013114"	(1157.853992,0.0006935520402)
"F000039"	(1634.965245,0.0009825923575)
"G007696"	(1452.121012,0.0008718018185)
"G007630"	(1452.121012,0.0008714106474)
"G008938"	(312.5296049,0.0001878719537)
"G008225"	(2480.457767,0.004543935605)
"I013614"	(2926.481175,0.005359425913)
"G008450"	(555.7369698,0.001017311325)
"A011409"	(2477.52849,0.004534812614)
"G010141"	(1157.852731,0.002120986904)
"K014462"	(235.6344885,0.0004312480283)
"G006583"	(2458.269993,0.004501975324)
"A005114"	(2423.899684,0.004439042527)
"G008066"	(2752.819799,0.005040153117)
"N015444"	(2663.158154,0.004876580341)
"G003276"	(1363.485379,0.00249759366)
"F014640"	(1438.017267,0.002633056401)
"G016034"	(1162.622982,0.002128485602)
"G006035"	(559.6166833,0.001025284374)
"L005106"	(2110.023913,0.003863243457)
"F016160"	(2026.269569,0.00371034254)
"A000388"	(2313.168303,0.00155370528)
"A005719"	(153.6785135,0.0001031358804)
"G006190"	(337.7695302,0.000227208233)
"K004779"	(1046.841139,0.0007027140453)
"K005108"	(202.4848539,0.000135965576)
"G000036"	(547.0325537,0.0003673176002)
"K013368"	(2650.125478,0.001779067917)
"G004444"	(1450.373608,0.0009733604957)
"F011229"	(1683.542816,0.001131481666)
"K015565"	(210.6288976,0.0001410210345)
"A015143"	(183.5043195,0.0001227750432)
"G016109"	(2396.432294,0.001609410276)
"N015741"	(2671.499071,0.001795444832)
"A002000"	(211.855697,0.0001391705182)
"G014132"	(135.3707676,8.885570659e-05)
"G001806"	(2428.492263,0.001627666883)
"E005025"	(2751.21382,0.003692293345)
"G002271"	(54.43356716,7.285827147e-05)
"I014125"	(2926.484885,0.003927877308)
"G002099"	(1609.747353,0.002159089589)
"G010958"	(2215.927949,0.002973688671)
"P009123"	(1129.611698,0.001515778047)
"A000058"	(107.6667798,0.0001442582808)
"G012132"	(1070.151947,0.00143633173)
"P008167"	(753.5040081,0.001010345132)
"A013031"	(285.3036229,0.0003820982827)
"G010628"	(2408.507906,0.003230742898)
"G012967"	(1070.151946,0.001436329635)
"N001536"	(619.9805824,0.0008309910716)
"K015535"	(1046.84239,0.001404601713)
"G010311"	(2564.683411,0.003442649887)
"E014240"	(2695.554367,0.00361961807)
"G009947"	(2447.009693,0.001938625416)
"K000129"	(937.6356227,0.000741432045)
"G016378"	(2491.975246,0.001974633219)
"K000074"	(2101.762737,0.001664054005)
"G008405"	(603.4976776,0.0004786413452)
"G015786"	(2128.802222,0.001687441681)
