"K008552"	(676.2830506,0.0005559773189)
"A010131"	(-1770.777738,-0.001200300216)
"A000540"	(-1770.777704,-0.001182476233)
"A002615"	(-1698.006994,-0.001171152868)
"A003819"	(821.5931951,0.0006247598867)
"K000038"	(371.202244,0.0001273219429)
"K013859"	(-149.5663144,-0.0001340697937)
"K007991"	(371.2022329,0.0001242096925)
"K011745"	(98.80264511,-3.708889318e-05)
"K009350"	(-471.1537671,-0.0002921367041)
"K009858"	(-530.5684417,-0.0003492816426)
"K013640"	(71.49398267,-0.0001269493919)
"K005549"	(274.3208731,0.0001157305086)
"A001623"	(421.1088361,0.0005719556076)
"K013487"	(-75.06295817,-9.822066017e-05)
"A000565"	(-397.651038,-0.0005535025745)
"A007998"	(707.4647464,0.0008994942885)
"A007876"	(920.2770271,0.001247500864)
"A007666"	(879.1492575,0.00120778115)
"A005660"	(-533.7563046,-0.0006638115048)
"G010864"	(-985.7039993,-0.001226146425)
"A002653"	(910.3330032,0.001223091088)
"A008825"	(-342.8276501,-0.000386418971)
"A003563"	(-342.8276591,-0.0003806472255)
"A001223"	(-342.8276507,-0.0003864641849)
"A008643"	(-342.8276512,-0.0003812103598)
"A006539"	(-342.8276574,-0.0003802267365)
"A001154"	(-342.8276768,-0.0005908232443)
"A014916"	(-342.8277211,-0.0001371690645)
"A001062"	(-342.8277222,-0.0001438040401)
"K000957"	(-200.7829079,-7.201768627e-05)
"A013988"	(-238.4059906,-0.000127169509)
"A014726"	(755.8628853,0.0005205101013)
"A012229"	(-1350.75237,-0.0007159802331)
"A008861"	(755.8628705,0.0005375607838)
"A008048"	(755.8628917,0.0005402190209)
"A004242"	(438.392933,0.0001663859698)
"A006413"	(-303.1296364,-0.0001266376043)
"A011978"	(-576.1674881,-0.0003915573644)
"A014310"	(-303.1296424,-0.0001180481453)
"A008000"	(-257.7428311,-0.0002309435738)
"O012362"	(928.8690148,0.0003740154862)
"A008078"	(-336.2236323,-0.0002828761425)
"A010278"	(-303.1296765,-0.0003145453687)
"A013518"	(-257.7429875,-0.0003082795295)
"K005062"	(-439.0867969,-0.0001544382886)
"K013135"	(-896.7011051,-0.0005630067501)
"K013396"	(-66.30058324,0.0001205237542)
"A003343"	(-186.2782002,-0.0002546486234)
"G004489"	(-579.9154583,-0.0004840513455)
"G000891"	(-633.4653703,-0.0005334170802)
"G002468"	(-633.4653604,-0.0005515594132)
"G013441"	(-633.4653748,-0.0005464481959)
"K002646"	(-495.701472,-0.0003813146785)
"G007082"	(-579.9154558,-0.0004857608076)
"G015011"	(-579.9154751,-0.0004903968537)
"K015506"	(35.73032758,3.610649077e-05)
"K013127"	(141.366347,0.0001394166831)
"K014224"	(-260.7815339,-5.909260829e-05)
"A014272"	(-1280.31679,-0.0008153313389)
"K001443"	(21.28599141,0.0001044657586)
"A013254"	(-244.276288,-9.71609268e-05)
"A003570"	(-638.7457564,-0.0005945595651)
"K009045"	(-468.9666192,-0.0003836806014)
"K014143"	(-37.05420548,9.587412425e-05)
"K009454"	(-1131.80176,-0.000673124966)
"K003020"	(231.4416838,0.0002622279003)
"K003879"	(-29.01650028,-3.714293363e-06)
"A013509"	(527.14435,0.0003398067821)
"K009575"	(110.1079859,-3.60473175e-05)
"A005480"	(-433.699756,-0.0004653408027)
"O008855"	(950.4123408,0.000683827695)
"K013182"	(-29.21633986,1.419819439e-05)
"A014253"	(-210.2355513,-0.000112237378)
"G002006"	(-338.9180481,-0.0003048942396)
"A015371"	(976.3727595,0.000898355751)
"G002339"	(-374.5861038,-0.000322431977)
"G004630"	(-338.917687,-0.0002978418521)
"A010695"	(177.3450233,3.925894657e-05)
"A013029"	(-260.8084767,-0.0001601492466)
"A012074"	(-246.8864572,-0.0001927380874)
"A003900"	(-246.8864545,-0.0001941525776)
"G012685"	(-426.0737899,-0.0003217106884)
"A005456"	(-1499.573225,-0.001112682819)
"K011618"	(2.252115015,3.470185658e-05)
"A006980"	(-1529.688267,-0.001052947982)
"A008178"	(666.8360673,0.0004854715689)
"A009947"	(-107.0243206,-4.376878283e-05)
"A006313"	(-1404.581224,-0.0010145215)
"A005797"	(-282.5549053,-0.0002243711293)
"G015488"	(-664.7381407,-0.0005236673206)
"G004038"	(-664.7380553,-0.0004262958964)
"G011524"	(-664.7383376,-0.0005223398439)
"G006551"	(-664.7383395,-0.000516692772)
"K005787"	(-232.0070521,-9.166659972e-05)
"G006779"	(-664.7383396,-0.00051953696)
"G014415"	(-334.6176753,-0.0002220410618)
"K000701"	(101.8592073,0.0001083302209)
"G011770"	(-334.6176722,-0.000222592447)
"G000505"	(-334.6176746,-0.000226821176)
"G015266"	(-334.6176718,-0.0002183138007)
"G011310"	(-268.8416492,-0.0003536150873)
"G004850"	(-334.61767,-0.000226381981)
"G004025"	(-268.8416338,-0.0003479837407)
"G004394"	(-334.6176695,-0.0002250291428)
"G010135"	(-268.8416541,-0.0003260467308)
"G003138"	(-268.8416677,-0.0003487649654)
"G008949"	(-287.4405434,-0.0002892940996)
"G005467"	(-339.6492924,-0.0004084938108)
"G004279"	(-392.5357672,-0.0002250352183)
"K008502"	(-69.2674497,1.677113275e-06)
"A002462"	(356.3220813,0.0002330240053)
"A001783"	(-1315.569607,-0.0009192910923)
"K003241"	(113.1203918,0.0002334987729)
"K013359"	(-54.29436862,1.479334101e-05)
"K002518"	(341.3120476,0.0002335960096)
"G010280"	(-290.7310208,-0.0002312108426)
"G014524"	(-327.6049836,-0.0002299488265)
"A009341"	(229.2028592,0.0002116443274)
"G002186"	(-290.7310129,-0.0002313238252)
"A005948"	(-120.3465158,-9.31520679e-05)
"G014383"	(-270.7070266,-0.0001485079182)
"K008736"	(62.27806455,1.704837447e-05)
"A008962"	(108.3063834,0.0001373510318)
"G000519"	(3.165482586,-0.0001276471864)
"A000759"	(-120.3465054,-0.0001135028923)
"G004010"	(-327.6049602,-0.0003018863351)
"G004788"	(-327.6049602,-0.0003106956947)
"G016075"	(-325.7622244,-0.0003533702677)
"A004418"	(666.8366244,0.0005834506204)
"K008499"	(-28.69556032,1.067019248e-05)
"G014943"	(-312.6553157,-0.0002592738301)
"K002558"	(-235.1214596,-0.0001427241259)
"K010584"	(-164.3210598,-6.371164724e-05)
"A000305"	(1098.718843,0.0009884725808)
"A010119"	(108.3063239,0.0001386248997)
"K012885"	(-1245.836353,-0.001085615669)
"A009543"	(108.3063238,0.0001409355474)
"A004127"	(108.3063239,0.0001425873646)
"K016223"	(355.880563,0.0004691968618)
"K015250"	(-191.5224815,-0.0001359712372)
"G008445"	(-147.7582701,-0.000164757741)
"G010778"	(-354.0131973,-0.0002113848562)
"K009423"	(89.68289363,0.0001049211172)
"K013050"	(338.6507349,0.0003675511774)
"G009724"	(-208.7957494,-0.0002255895681)
"K013465"	(-2.187236021,6.523134428e-05)
"A003311"	(-256.2506045,-0.0003067185777)
"A015208"	(-256.250604,-0.0003093500442)
"A015922"	(-256.2506116,-0.0003021711193)
"K011131"	(-434.0990371,-0.0005358203475)
"A008699"	(63.62442022,7.893726723e-05)
"G015951"	(-444.9065018,-0.0004441819774)
"A015455"	(-256.2506015,-0.0003088045907)
"A001690"	(-256.2506053,-0.0003029489389)
"O011420"	(843.8281127,0.000948351585)
"G007287"	(-524.284415,-5.816999002e-05)
"G012790"	(-451.8363311,-5.924289331e-05)
"G014793"	(131.1712903,-0.0001847635439)
"G015400"	(-105.3855093,8.121077001e-05)
"G008085"	(-392.8983934,2.226567459e-05)
"G007207"	(-270.7207411,-2.676520419e-05)
"G004608"	(-530.974522,-4.65395118e-05)
"G011047"	(-582.6190373,-5.519547123e-05)
"G006820"	(-35.43908861,1.2853477e-05)
"G014659"	(16.46999364,0.0001151006016)
"G014316"	(-270.7207437,-2.496718856e-05)
"A006608"	(-405.8383348,-0.0001191126954)
"K011798"	(-34.86692071,4.094491482e-05)
"G010472"	(-199.1015188,3.071736272e-05)
"P010444"	(-500.6249479,-0.0001258799485)
"A005036"	(-203.8255639,-4.386103865e-05)
"G014753"	(-101.5393645,-0.0002311397868)
"A001791"	(-30.54476154,6.035429612e-05)
"G011937"	(-391.0560459,-0.0002200125475)
"A011975"	(-405.8387618,-0.0003262202337)
"K015931"	(-88.42259586,-7.530941364e-05)
"A010294"	(-142.9927558,-6.059991799e-05)
"G014593"	(-242.252083,-0.0001727483178)
"G008134"	(-395.1499786,-0.0001685017947)
"G006268"	(-242.2520846,-0.0001825258934)
"G009504"	(-291.9036522,-0.0001726898542)
"G015975"	(-96.66602751,-9.157655879e-05)
"G008669"	(-365.6806987,-0.0002193582955)
"A015654"	(-506.9366712,-0.0003653768959)
"K005492"	(125.9840614,0.0001077441637)
"A009374"	(-256.2510151,-0.000198147351)
"K015323"	(-289.7835326,-0.0001516189529)
"K015435"	(-192.4516675,-0.0003478245541)
"A016293"	(-185.2146046,-0.0001533856178)
"K016127"	(-87.94989212,7.98052638e-05)
"K007161"	(-71.64769156,9.551987618e-05)
"O013049"	(46.13948527,0.0001136695956)
"G000237"	(-455.3996466,-0.0003443034353)
"A012002"	(0.2683428151,4.851054096e-05)
"G011833"	(-96.6659859,-0.0001100407525)
"G009846"	(-96.66598187,-0.0001052639596)
"N016058"	(-399.2946822,-2.726590331e-05)
"G005519"	(-242.2519576,-0.0002107945022)
"G001730"	(-94.46685408,-0.000107515122)
"G005068"	(-96.66598119,-0.0001048510213)
"A014706"	(-1442.86136,-0.001185657146)
"A015249"	(-837.2401015,-0.0008281692919)
"A005304"	(-623.2143276,-0.0004483750257)
"N008967"	(-399.2944306,0.0001132551589)
"G003951"	(591.060064,0.0001366262046)
"N012389"	(969.1625058,0.000210369669)
"A003474"	(-661.7407307,-0.0004098844761)
"A008590"	(-661.7407172,-0.0003788661597)
"G007222"	(-235.569179,-0.0002924260264)
"N007157"	(969.1625328,0.0002288442344)
"O012225"	(-98.81252001,9.764645712e-06)
"N003439"	(969.1625269,0.0002213656824)
"K007894"	(-98.57224756,1.081226138e-05)
"N001078"	(931.9524703,0.0001924971389)
"K013703"	(-78.59932181,-8.127138241e-05)
"A015044"	(-143.1226241,-2.37484364e-05)
"A000055"	(-564.4445295,-0.000342556003)
"G000209"	(-199.1014812,-4.506773682e-05)
"G013045"	(-317.7462691,-0.00012124695)
"G012372"	(-240.9973757,-9.329820324e-05)
"A010286"	(-77.32768617,-3.583135576e-05)
"G002079"	(-325.9111545,-0.00011185019)
"O016373"	(-120.648981,3.515914708e-05)
"G000044"	(-177.6075635,-3.95788782e-05)
"G013994"	(-319.546041,-0.0001015408053)
"G009198"	(-240.2834883,-0.0001025470653)
"G016092"	(-82.15095169,-5.331665097e-06)
"G015994"	(-240.9973692,-9.128474663e-05)
"G007167"	(-320.4220743,-9.348411632e-05)
"A011028"	(-159.560074,-7.807347784e-05)
"A011061"	(-253.4633482,-3.293785029e-05)
"P001432"	(143.3306664,-9.314357237e-05)
"A014673"	(243.0220439,0.0002200437677)
"N007868"	(483.630716,-0.0001061680728)
"G003347"	(662.2317784,0.0001268296857)
"G005616"	(662.2318421,0.0002709722056)
"G006560"	(-242.2519484,-0.0001679527571)
"K000141"	(-119.9461926,5.906842843e-05)
"A007786"	(-253.4634361,-0.0001320912078)
"G015742"	(662.2318486,0.0002843760079)
"N012144"	(-503.5138418,-6.633106853e-05)
"G010843"	(662.2318321,0.0002767398478)
"G009782"	(662.2318229,0.0002800302558)
"G006276"	(662.2318365,0.0002909011961)
"P000695"	(97.93893818,-9.529582928e-05)
"N008471"	(911.1811718,0.0003359369433)
"G007347"	(-238.4178641,-0.0001745500267)
"K007569"	(113.3830324,0.0001183803144)
"A001843"	(-129.7905562,-0.0001749406697)
"G006313"	(-305.0525275,-8.167064653e-05)
"A000725"	(-145.7667402,-8.971553992e-05)
"N013904"	(-489.0894532,1.528271113e-05)
"G016283"	(-156.1038204,-5.833159214e-05)
"A011365"	(-13.21112918,-4.379050529e-05)
"K007703"	(546.6524154,0.0002707741047)
"A014197"	(-287.7714671,-0.0001493496099)
"K003264"	(-2.419811381,-1.845673237e-05)
"G004700"	(796.2467346,0.0004465301591)
"A015094"	(-85.48717655,-2.326854175e-05)
"G016020"	(422.554033,0.0001149237993)
"G007845"	(-121.3541823,-7.968718365e-05)
"K000116"	(-28.8250736,-3.040061355e-05)
"E013092"	(640.7802145,0.0002252533835)
"N011745"	(-473.3023534,-3.451152442e-05)
"G013768"	(-240.997467,-0.000134284554)
"G012855"	(79.42286086,1.558337538e-05)
"G006964"	(-165.9864183,-7.33619484e-05)
"K009912"	(-949.2153151,-0.001194271641)
"G009403"	(-149.1047307,-0.0001995758293)
"O005894"	(139.5120777,0.0004088020525)
"G011837"	(34.03113649,3.93710749e-05)
"G006734"	(-165.9864167,-0.0002256829033)
"G006012"	(-6.878804274,-8.649027764e-05)
"N008047"	(-443.5031026,-0.000258295583)
"G007865"	(72.08521941,-1.459031285e-05)
"N004472"	(825.7143386,0.0007763747543)
"K013213"	(-215.1929733,-0.0002575210387)
"G006845"	(-165.9864131,-0.0002262933979)
"N003784"	(852.8940394,0.0008121237885)
"A013876"	(-24.73836243,-4.462895252e-05)
"K005850"	(8.299594326,-0.0001190880416)
"K016181"	(275.5898511,0.0003900047796)
"K006424"	(-332.4601574,-0.000348628253)
"N011051"	(862.7419983,0.0005705979407)
"G009136"	(433.9255149,0.000336127712)
"G003554"	(357.7733892,0.0004004163744)
"G001516"	(-204.7212696,-0.000154737113)
"G005855"	(-222.5459928,-0.0002050061344)
"G011485"	(153.0109705,0.0001118455502)
"G001009"	(859.5524386,0.0006639263829)
"G010210"	(185.4442013,0.0001422274419)
"O013524"	(-348.0833119,-0.000429888935)
"A015905"	(466.3679285,0.0005113417769)
"G004293"	(-70.14068827,-9.096230254e-05)
"A005359"	(-984.9845554,-0.0009396753882)
"G005700"	(949.4569722,0.0007391798631)
"G012728"	(949.4603422,0.0007391909)
"K000843"	(-147.1912228,-0.0001268121138)
"G004120"	(949.5062911,0.0008594634248)
"G011640"	(-63.73074215,-5.686888208e-05)
"N010358"	(-452.4534457,-0.0005690087325)
"P004010"	(505.0493428,0.0002887433446)
"G004833"	(51.60369773,-0.0001419725083)
"K013087"	(-1134.331897,-0.0009370300261)
"G010507"	(-367.4147563,-0.0002977726165)
"G011491"	(538.3215442,0.0003262837133)
"E003324"	(-311.5262379,-8.610097414e-05)
"G010220"	(351.8824918,0.0002145269702)
"N014530"	(-376.3588468,-0.000537232852)
"G011812"	(-301.4286286,-0.0003244236505)
"G008632"	(96.73609389,0.0001331960721)
"A007222"	(200.6292092,0.000185229139)
"A012077"	(200.6292022,0.000186378643)
"N000341"	(813.7054505,0.0005681349579)
"G003100"	(-369.0387565,-2.983895185e-05)
"G003320"	(-25.15730967,-0.0001494326334)
"G007255"	(1189.5019,0.0008156541755)
"P004028"	(127.5930469,7.47919449e-05)
"P001197"	(187.0077497,0.0001421203521)
"N008640"	(-257.9679539,-8.209156413e-05)
"A002801"	(-97.66370773,-4.784547199e-05)
"E014944"	(-749.3541304,-0.0002412546032)
"G014419"	(-217.7004898,-0.0001935276281)
"G008339"	(-287.3506666,-0.0001526734163)
"A013386"	(-121.6624648,-7.651483285e-05)
"A009879"	(200.6292368,0.0001540771885)
"E014692"	(-749.3541058,-0.0002532184069)
"G006986"	(-415.9652582,-0.0002720633376)
"G004967"	(-239.0865325,-0.0003126626563)
"G005612"	(344.4118696,0.0002956270157)
"G000067"	(11.73997814,2.135570639e-05)
"G008023"	(-24.82130335,-5.895952117e-05)
"O003077"	(-222.125703,-6.013731308e-05)
"E015436"	(-749.35331,-0.0001529348699)
"G001374"	(-18.7613575,-5.651333538e-05)
"G014815"	(-24.82132665,-5.159792186e-05)
"G014397"	(-239.0862656,-0.0002686772373)
"G006476"	(966.5101246,0.0004346139463)
"G000741"	(-24.82130762,-5.356657891e-05)
"P000282"	(184.859513,0.0001040321046)
"G005150"	(-239.0862692,-0.0002905993643)
"A011733"	(-512.1272067,-0.0003447120743)
"A001309"	(83.36600739,5.018848178e-05)
"G009464"	(-24.82129925,-5.512533115e-05)
"K005023"	(-473.6477967,-0.0003078546297)
"G012939"	(314.4375786,0.0001120996249)
"G000674"	(-55.74332916,-4.309683928e-06)
"G009698"	(356.9494363,0.0002085455592)
"K005252"	(182.0185289,8.536412491e-05)
"K003282"	(542.0569078,0.0002130732503)
"P010553"	(304.6736505,0.0001109967424)
"G010493"	(80.34892759,4.961888876e-05)
"N002758"	(-247.5004711,-0.000331313081)
"G005224"	(-233.3698527,-2.345373889e-06)
"A004743"	(-150.3022167,-0.0002130729237)
"G000001"	(260.3390057,8.626415915e-05)
"G012730"	(86.05772214,4.906807362e-05)
"A006523"	(-136.5885595,-7.375358027e-05)
"G015008"	(463.8889496,0.0002526480975)
"K011374"	(-553.7906424,-4.919774477e-05)
"G001850"	(434.9240432,0.0002123213697)
"K007479"	(-231.1341751,-4.878152989e-05)
"G002248"	(842.2949168,0.0004160159394)
"E004735"	(-220.2110099,-7.337355612e-05)
"G004801"	(116.0174267,6.6611065e-05)
"G006965"	(450.414613,0.0002250994226)
"Q000126"	(-10.79537581,-0.0001285291301)
"G000332"	(-295.9473658,-0.0001358191845)
"A012117"	(-128.566666,-3.878603884e-05)
"E001463"	(-703.9622979,-0.0001463330556)
"G006677"	(-300.288848,-0.0003810803132)
"G014403"	(-419.7814631,-0.0004505977638)
"G005832"	(-295.9473676,-0.0001205511521)
"K003074"	(-540.1314601,-3.995903327e-05)
"G002064"	(389.3572631,0.00022367947)
"A006706"	(234.357787,0.000175719539)
"G007400"	(446.0695932,0.0002109030955)
"A001571"	(87.05496161,3.62126714e-05)
"G009151"	(-447.2436076,-0.0002914715644)
"G011134"	(433.9294174,0.0003903836799)
"F001639"	(153.3241907,0.0001427002679)
"G002072"	(-147.02752,-0.0002107907878)
"A000265"	(2.057541524,4.50267541e-05)
"G005901"	(446.0694319,0.0003670450904)
"N000408"	(518.956888,0.0003715884829)
"K008125"	(-540.131243,-0.0002541760291)
"A011080"	(172.2597638,2.113477013e-05)
"K009449"	(-571.1813339,-0.0002748185554)
"G004818"	(-147.0275191,-0.0002354551316)
"G013773"	(167.3910849,0.0001829154166)
"G000864"	(612.4967073,0.0005248792622)
"K009349"	(39.69809548,4.123580153e-05)
"P010480"	(159.9283864,8.539876832e-05)
"G010632"	(284.1787717,0.0002652113669)
"N014847"	(-185.2295086,4.766456517e-05)
"G013638"	(-331.5307384,-0.0003419769127)
"A006503"	(-49.92147355,5.643491059e-06)
"G012150"	(393.1311822,0.0005584870923)
"G005535"	(-386.1470274,-0.0003313707923)
"N010732"	(-271.3186639,-7.286805944e-05)
"E009147"	(-319.9319123,-0.0001194341714)
"G010891"	(-328.0791299,-0.0004864686191)
"G002192"	(-254.8192984,-0.0002107063931)
"G006319"	(696.4422807,0.0005933145694)
"G013496"	(665.4229177,0.0005269008417)
"G013778"	(-212.6205493,-0.0001832862291)
"P012083"	(-319.7981238,-0.0002732624235)
"A001490"	(-85.38733587,-9.868864639e-05)
"G011721"	(408.6973497,0.0003799816235)
"G005387"	(408.6973537,0.0003700725228)
"E009390"	(534.9712735,0.0002999870622)
"K012757"	(-222.4175283,1.604050827e-05)
"N004713"	(10.6633285,-1.680464286e-05)
"K001992"	(579.5960987,0.0001219880982)
"G005100"	(408.6975981,3.881426402e-05)
"G007736"	(-149.1766195,9.9054702e-05)
"G013660"	(408.6976046,3.887820834e-05)
"N003401"	(32.94847153,-2.831229438e-06)
"N011007"	(-308.277073,-0.0002584448321)
"A015458"	(13.29105407,1.976938609e-05)
"N003466"	(68.77441222,-0.0003544635095)
"A000415"	(-167.6295731,1.397727394e-05)
"K010590"	(208.2085501,0.0001010636303)
"G003439"	(-116.9161191,-6.647729346e-06)
"Q001233"	(-212.9427552,-6.798074685e-05)
"K015863"	(-193.1501101,1.592718946e-05)
"G002225"	(-386.1474302,-1.813538994e-05)
"G007291"	(-177.7055471,0.0001605033025)
"G013759"	(441.4136789,0.0002910547215)
"G007893"	(236.1812633,-1.640705303e-05)
"G010768"	(-177.7055563,0.0001642883104)
"G007088"	(236.181277,-7.501812617e-07)
"K010072"	(695.9461328,0.0004228569152)
"G000845"	(-399.504183,-0.0003721514845)
"G014012"	(-189.3874186,0.0001840843465)
"I015269"	(-125.9447361,-3.325148077e-06)
"P001117"	(125.521668,1.024969974e-05)
"G005918"	(-1275.630904,-0.0008241569805)
"G004109"	(-150.947627,-0.0003142196283)
"E013908"	(-857.0677884,-0.0003092435025)
"G009173"	(143.097351,0.0001512943264)
"G004366"	(-150.9476249,-0.0002939851797)
"G011710"	(-150.9479001,-0.0001201544573)
"G003204"	(471.0862012,0.0003290448404)
"G015261"	(-150.9475413,-0.0002828225474)
"E013991"	(-247.6043169,-7.288367572e-05)
"Q000882"	(23.70283269,7.896123433e-05)
"G008620"	(-807.2557192,-0.0005393165599)
"A014009"	(-125.4530394,-9.569239208e-05)
"G004597"	(-176.6392676,-8.161525792e-05)
"E008140"	(-1019.139546,-0.0005588388366)
"G004779"	(-268.520674,-0.0001598764414)
"G001968"	(-699.7024379,-0.0004651106825)
"G010194"	(-351.2482959,-0.0002295141662)
"G009231"	(-228.0202594,-0.0001248393476)
"G014258"	(-807.2644115,-0.000543667739)
"A007446"	(-112.5703015,-2.437081626e-05)
"E015861"	(-722.0913246,-0.000219377136)
"G013042"	(182.3310657,7.468965872e-05)
"K013031"	(-127.1144446,-5.343051484e-05)
"G005267"	(754.8023458,0.0004054756223)
"G004167"	(-131.6167251,-0.0001660473351)
"I014959"	(212.5484013,0.0002110050807)
"G006326"	(-1112.667447,-0.0007974155583)
"Q000090"	(-8.69951944,8.90726211e-05)
"N002364"	(-48.18408884,-0.0001903935063)
"G002791"	(521.4963562,0.0004218567533)
"J005911"	(4.775462996,3.892767654e-06)
"G003366"	(-106.5130626,-7.441063261e-05)
"J011429"	(-67.92710377,-2.467965036e-05)
"K003932"	(79.50632418,5.297339439e-05)
"N012453"	(-156.2436441,-8.077790088e-05)
"K012569"	(44.11327978,1.200983324e-05)
"G007098"	(-517.0052593,-0.0002500526856)
"N013040"	(-232.1827728,-5.331845473e-05)
"G004422"	(-89.87242539,4.396440409e-05)
"G014235"	(-55.87424913,-0.0001957400628)
"G009097"	(-55.8742401,-0.0002176809255)
"G005307"	(5.619756803,4.505293294e-05)
"G007940"	(-38.5694458,1.574329235e-05)
"G000938"	(222.1695687,3.827162814e-05)
"Q001146"	(95.12178044,-1.483987059e-05)
"G011056"	(81.10181887,-6.016309069e-05)
"G002258"	(662.1535971,0.0001891080096)
"G013305"	(-429.3789692,-6.858953198e-05)
"P009211"	(-114.7973347,-6.93150231e-05)
"K006119"	(-497.9860101,-0.0001825604893)
"N005750"	(-358.4661065,5.655315471e-05)
"G014737"	(139.7495911,-0.0001477719497)
"N010569"	(313.9301376,-0.0001173375161)
"G011287"	(256.1899568,4.414545595e-05)
"K010231"	(719.8389508,0.0004526832027)
"K000289"	(-70.51162428,-6.890029951e-05)
"E014184"	(679.5935176,0.0004039288973)
"N007995"	(-265.3395416,-0.0003976837376)
"Q000532"	(-50.91281194,1.672882667e-06)
"K005900"	(-216.3693154,-0.0001584981904)
"P002925"	(633.1006664,0.0002761818287)
"K015969"	(-81.92619554,-7.553255689e-05)
"G006117"	(-301.7111336,-0.0001708921504)
"G010525"	(-485.6928436,-0.0002610743539)
"I002027"	(142.5801353,0.0001738915613)
"G006453"	(-274.468137,-9.33643373e-05)
"G014165"	(-375.0855319,-0.0001695323324)
"G012159"	(-74.27937626,0.0001732755054)
"G005108"	(-44.59746764,0.000166546157)
"G003787"	(222.6932682,0.0002733908612)
"A013930"	(494.4531037,0.000304184318)
"G012621"	(-331.6707852,-0.0001642277483)
"N008939"	(-281.9900153,-3.978719319e-05)
"G006312"	(-331.6707675,-0.0001596030867)
"F002574"	(357.545227,0.0003697298107)
"N010282"	(-719.8481194,-0.0003957006784)
"N015303"	(-260.5764396,-0.0005222548183)
"G010871"	(-274.468127,-7.220174476e-05)
"G008526"	(-286.3314224,-5.136554658e-05)
"G013633"	(-316.9536541,-0.0001590641639)
"G002899"	(-331.6707841,-0.0001653669991)
"G013114"	(-331.6707771,-0.00016200117)
"F000039"	(-209.9549845,-0.00012363628)
"G007696"	(-928.7701396,-0.0004726126552)
"G007630"	(-928.7701474,-0.0004706736699)
"G008938"	(78.39048878,2.514094748e-05)
"G008225"	(-446.1007382,-0.0004104996507)
"I013614"	(153.6921675,0.0002525465908)
"G008450"	(-156.1036233,-0.0001993603253)
"A011409"	(574.109463,0.0007525642708)
"G010141"	(-331.6706079,-0.0003560737191)
